nama_produk,energy,saturated_fats,sugars,sodium,proteins,fibers,fruits_vegetables,n_points,p_points,nutri_score,category
Garuda_Snack_KacangPanggangRostaBawang_95G,130.0,1.5,3.0,0.14,4.0,1.0,0.0,4.567318132464712,2.2,2.367318132464712,C
Garuda_Snack_KacangTelur_100G,140.0,3.0,7.0,0.095,1.0,2.0,0.0,9.007744288454253,1.0,8.007744288454253,C
Garuda_Snack_KacangAtom_100G,,,,,,,,,,,E
Garuda_Snack_KacangAtomPedas_100G,130.0,1.5,3.0,0.135,3.0,0.0,0.0,4.567318132464712,2.4989583333333334,2.068359799131379,C
Garuda_Snack_KacangAtomPedas_220G,130.0,1.5,3.0,0.135,3.0,0.0,0.0,4.567318132464712,2.4989583333333334,2.068359799131379,C
Garuda_Snack_KacangGaring_60G,150.0,0.0,1.0,0.085,7.0,4.0,0.0,2.2369524680327904,2.248237205761426,-0.011284737728635807,A
Garuda_Snack_KacangGaring_200G,150.0,0.0,1.0,0.07,7.0,4.0,0.0,2.2369524680327904,2.248237205761426,-0.011284737728635807,A
Garuda_Snack_KacangGaring_375G,150.0,0.0,1.0,0.07,7.0,4.0,0.0,2.2369524680327904,2.248237205761426,-0.011284737728635807,A
MisterPotato_Snack_CrispsRendang_35G,100.0,2.5,5.0,0.11,1.0,0.0,0.0,6.850606823437917,1.0,5.850606823437917,C
MisterPotato_Snack_CrispsOriginal_35G,100.0,2.5,0.0,0.075,1.0,0.0,0.0,5.078898037006561,1.0,4.078898037006561,C
MisterPotato_Snack_CrispsGhostPepperCheese_40G,100.0,2.5,0.0,0.115,2.0,0.0,0.0,5.078898037006561,1.0,4.078898037006561,C
